Cipher Num	Enc Time	PTest Time	Total Time P	DTest Time	Total Time	
8100.000000	125.619484	278.745677	404.389525	2.269574	406.659099	
8200.000000	127.096529	282.085078	409.205972	2.296860	411.502831	
8300.000000	128.616503	285.397846	414.038712	2.323831	416.362543	
8400.000000	130.123243	288.642031	418.789639	2.350957	421.140596	
8500.000000	131.612663	291.926257	423.563284	2.377861	425.941145	
8600.000000	133.117083	295.237563	428.379010	2.404248	430.783258	
8700.000000	134.617410	298.497889	433.139663	2.431321	435.570984	
8800.000000	136.108882	301.723678	437.856924	2.458816	440.315740	
8900.000000	137.538882	304.890519	442.453766	2.484114	444.937880	
9000.000000	138.980650	308.127226	447.132240	2.509279	449.641519	
9100.000000	140.432113	311.293653	451.750130	2.536852	454.286982	
9200.000000	141.955960	314.592623	456.572947	2.562482	459.135429	
9300.000000	143.400556	317.854475	461.279395	2.588125	463.867520	
9400.000000	144.898397	321.068158	465.990920	2.614225	468.605145	
9500.000000	146.442051	324.617466	471.083882	2.641655	473.725537	
9600.000000	147.896570	327.853296	475.774230	2.668168	478.442398	
9700.000000	149.408562	331.127273	480.560200	2.695045	483.255245	
9800.000000	150.839698	334.364744	485.228806	2.720232	487.949038	
9900.000000	152.326518	337.610899	489.961782	2.750122	492.711904	
10000.000000	153.817742	340.845189	494.687295	2.777289	497.464585	
10100.000000	155.337843	344.130565	499.492772	2.805120	502.297892	
10200.000000	156.860576	347.457000	504.341939	2.833324	507.175263	
10300.000000	158.370679	350.785759	509.180803	2.861695	512.042497	
10400.000000	159.839967	354.070859	513.935191	2.888217	516.823407	
10500.000000	161.451032	357.491244	518.966640	2.917216	521.883856	
10600.000000	163.482364	362.000415	525.507144	2.958788	528.465932	
10700.000000	164.942998	365.214684	530.182047	2.986211	533.168258	
10800.000000	166.396440	368.433697	534.854501	3.011468	537.865968	
10900.000000	167.822872	371.638959	539.486196	3.036715	542.522911	
11000.000000	169.279038	374.854020	544.157423	3.063184	547.220607	
11100.000000	170.822222	378.178574	549.025160	3.091575	552.116735	
11200.000000	172.362614	381.505356	553.892334	3.118554	557.010888	
11300.000000	173.830931	384.746274	558.601569	3.145603	561.747172	
11400.000000	175.237238	387.894682	563.156284	3.172067	566.328352	
11500.000000	176.785160	391.232188	568.041712	3.198724	571.240436	
11600.000000	178.241970	394.424202	572.690536	3.223295	575.913831	
11700.000000	179.674245	397.672483	577.371092	3.248158	580.619250	
11800.000000	181.154850	400.833313	582.012527	3.274285	585.286812	
11900.000000	182.609875	404.020992	586.655232	3.299882	589.955113	
12000.000000	184.057019	407.169267	591.250650	3.326164	594.576814	
12100.000000	185.490955	410.346506	595.861825	3.352131	599.213956	
12200.000000	187.013689	413.619966	600.658020	3.378725	604.036744	
12300.000000	188.516423	416.868463	605.409249	3.406272	608.815521	
12400.000000	190.921559	422.256904	613.202827	3.450606	616.653434	
12500.000000	192.694357	426.101495	618.820216	3.479954	622.300170	
12600.000000	194.897713	430.973710	625.895787	3.517257	629.413045	
12700.000000	198.231164	438.262980	636.518508	3.567514	640.086023	
12800.000000	200.247219	442.778151	643.049734	3.604479	646.654213	
12900.000000	202.259701	447.141140	649.425206	3.645485	653.070691	
13000.000000	204.370585	451.910026	656.304975	3.685774	659.990749	
13100.000000	206.225115	455.847733	662.097213	3.715161	665.812373	
13200.000000	207.995406	459.774655	667.794425	3.745236	671.539661	
13300.000000	209.855511	463.828915	673.708790	3.777774	677.486564	
13400.000000	211.653687	467.836176	679.514227	3.813435	683.327662	
13500.000000	213.431832	471.770317	685.226513	3.848010	689.074524	
13600.000000	215.199663	475.763689	690.987717	3.878200	694.865916	
13700.000000	216.969748	479.709492	696.703604	3.911263	700.614867	
13800.000000	218.742822	483.719638	702.486824	3.946013	706.432837	
13900.000000	220.517439	487.482194	708.023997	3.983938	712.007935	
14000.000000	222.304391	491.424573	713.753329	4.016768	717.770097	
14100.000000	224.089296	495.360312	719.473972	4.049357	723.523329	
14200.000000	225.884805	499.252021	725.161190	4.079574	729.240764	
14300.000000	227.779153	503.441400	731.244917	4.118781	735.363698	
14400.000000	229.552296	507.369782	736.946443	4.149930	741.096373	
14500.000000	231.307214	511.307442	742.639020	4.184127	746.823148	
14600.000000	233.173642	515.258157	748.456163	4.219054	752.675218	
14700.000000	235.062800	519.478588	754.565753	4.250025	758.815778	
14800.000000	236.777307	523.368668	760.170339	4.281302	764.451642	
14900.000000	238.456038	527.049809	765.530211	4.314641	769.844852	
15000.000000	240.159588	530.794062	770.978015	4.344263	775.322278	
15100.000000	241.973156	534.995923	776.993444	4.377129	781.370573	
15200.000000	243.693929	538.899509	782.617802	4.407135	787.024937	
15300.000000	245.488439	542.806573	788.319377	4.440372	792.759749	
15400.000000	247.284336	546.674836	793.983536	4.475068	798.458603	
15500.000000	249.076749	550.748610	799.849724	4.505803	804.355526	
15600.000000	250.802383	554.604317	805.431065	4.537292	809.968357	
15700.000000	252.550191	558.499389	811.073944	4.567086	815.641031	
15800.000000	254.345878	562.425770	816.796012	4.598684	821.394696	
15900.000000	256.157959	566.273811	822.456134	4.631250	827.087384	
16000.000000	257.960856	570.155129	828.140349	4.664173	832.804522	
16100.000000	259.684958	574.013818	833.723140	4.695035	838.418175	
16200.000000	261.646117	578.350055	840.020536	4.732805	844.753341	
16300.000000	263.648069	582.840267	846.512701	4.766392	851.279094	
16400.000000	265.491453	586.884448	852.400266	4.797924	857.198190	
16500.000000	267.216345	590.694436	857.935145	4.828577	862.763722	
16600.000000	268.941517	594.543520	863.509401	4.859129	868.368530	
16700.000000	271.037357	599.280012	870.341734	4.894929	875.236663	
16800.000000	272.689533	602.944325	875.658222	4.923274	880.581495	
16900.000000	274.729981	607.206648	881.960993	4.954222	886.915216	
17000.000000	276.734134	611.679909	888.438407	4.994372	893.432779	
17100.000000	278.621463	615.843325	894.489153	5.030603	899.519756	
17200.000000	280.579840	620.332553	900.936757	5.074860	906.011617	
17300.000000	282.392555	624.370841	906.787760	5.104519	911.892279	
17400.000000	284.377480	628.543396	912.945240	5.136284	918.081524	
17500.000000	286.228556	632.579534	918.832455	5.166731	923.999186	
17600.000000	288.108350	636.805219	924.937933	5.208620	930.146553	
17700.000000	289.983662	640.972590	930.980616	5.240819	936.221434	
17800.000000	291.825608	645.168840	937.018812	5.276282	942.295094	
17900.000000	293.871377	649.675169	943.570910	5.310968	948.881878	
18000.000000	297.195770	656.839462	954.059596	5.358907	959.418503	
18100.000000	299.030760	660.956064	960.011189	5.394544	965.405732	
18200.000000	301.168166	665.668215	966.860745	5.430783	972.291528	
18300.000000	303.073626	669.913570	973.011560	5.462968	978.474528	
18400.000000	304.870042	673.968744	978.863150	5.495636	984.358786	
18500.000000	306.851279	678.368506	985.244149	5.528017	990.772166	
18600.000000	308.700323	682.511416	991.236103	5.559039	996.795142	
18700.000000	310.599168	686.812704	997.436236	5.593973	1003.030209	
18800.000000	312.516866	691.086491	1003.627722	5.627012	1009.254733	
18900.000000	314.394986	695.349241	1009.768591	5.661219	1015.429810	
19000.000000	316.238442	699.616709	1015.879514	5.692753	1021.572267	
19100.000000	318.126151	703.750118	1021.900634	5.726351	1027.626985	
19200.000000	319.971817	707.812360	1027.808541	5.757534	1033.566075	
19300.000000	322.051247	712.410454	1034.486066	5.803372	1040.289438	
19400.000000	323.890051	716.525888	1040.440303	5.836846	1046.277148	
19500.000000	325.862609	720.692381	1046.579354	5.877197	1052.456551	
19600.000000	327.847480	725.230832	1053.102677	5.916880	1059.019557	
19700.000000	329.728437	729.482280	1059.235081	5.952852	1065.187933	
19800.000000	331.725335	733.860870	1065.610570	5.984931	1071.595501	
19900.000000	333.571239	738.153747	1071.749350	6.019312	1077.768662	
20000.000000	335.367760	742.136549	1077.528673	6.049470	1083.578144	
20100.000000	337.297522	746.390215	1083.712101	6.080785	1089.792885	
20200.000000	339.096500	750.342765	1089.463629	6.112851	1095.576480	
20300.000000	340.945626	754.599064	1095.569054	6.146511	1101.715565	
20400.000000	342.873425	758.887080	1101.784869	6.182233	1107.967103	
20500.000000	345.002509	763.609577	1108.636451	6.228905	1114.865356	
20600.000000	347.118781	768.270232	1115.413378	6.265104	1121.678481	
20700.000000	348.948231	772.303116	1121.275711	6.296685	1127.572396	
20800.000000	350.708850	776.200572	1126.933787	6.330385	1133.264172	
20900.000000	352.548471	780.211766	1132.784602	6.363283	1139.147886	
21000.000000	354.221947	784.052706	1138.299017	6.396407	1144.695424	
21100.000000	356.043803	788.168913	1144.237080	6.429101	1150.666181	
21200.000000	357.850729	792.137894	1150.012988	6.462180	1156.475168	
21300.000000	359.602157	796.143696	1155.770217	6.491566	1162.261783	
21400.000000	361.337568	799.907901	1161.269833	6.523874	1167.793707	
21500.000000	363.195309	804.115755	1167.335429	6.555715	1173.891144	
21600.000000	364.984335	808.029625	1173.038325	6.585714	1179.624039	
21700.000000	366.789944	811.979523	1178.793832	6.620026	1185.413858	
21800.000000	368.512174	815.831649	1184.368187	6.649806	1191.017993	
21900.000000	370.375016	819.961687	1190.361068	6.683634	1197.044702	
22000.000000	372.156808	823.963294	1196.144467	6.716787	1202.861254	
22100.000000	373.928518	827.858509	1201.811391	6.747375	1208.558765	
22200.000000	376.149741	832.894314	1209.068419	6.786910	1215.855329	
22300.000000	377.989600	837.106508	1215.120472	6.820204	1221.940676	
22400.000000	379.792992	840.982862	1220.800219	6.855096	1227.655314	
22500.000000	381.565937	844.901656	1226.491957	6.885419	1233.377376	
22600.000000	383.370410	848.851989	1232.246764	6.917220	1239.163984	
22700.000000	385.090772	852.797716	1237.912853	6.949577	1244.862429	
22800.000000	387.380780	858.361495	1245.766639	6.989190	1252.755829	
22900.000000	388.990640	861.985210	1251.000215	7.017571	1258.017785	
23000.000000	390.480733	865.320409	1255.825506	7.042810	1262.868317	
23100.000000	391.912173	868.413826	1260.350363	7.068137	1267.418500	
23200.000000	393.402574	871.661883	1265.088821	7.095958	1272.184779	
23300.000000	394.831525	874.753659	1269.609548	7.121228	1276.730776	
23400.000000	396.180542	877.725833	1273.930739	7.144900	1281.075639	
23500.000000	397.539307	880.688401	1278.252072	7.168749	1285.420821	
23600.000000	398.886700	883.658986	1282.570050	7.192620	1289.762670	
23700.000000	400.232955	886.621836	1286.879156	7.215582	1294.094738	
23800.000000	401.648929	889.706407	1291.379700	7.240442	1298.620142	
23900.000000	403.110818	892.898969	1296.034152	7.266350	1303.300501	
24000.000000	404.511621	895.945028	1300.481014	7.290479	1307.771492	
24100.000000	405.874053	898.978357	1304.876774	7.314271	1312.191045	
24200.000000	407.239965	901.970856	1309.235185	7.338383	1316.573568	
24300.000000	408.623654	904.943844	1313.591863	7.362669	1320.954532	
24400.000000	409.974476	907.935655	1317.934495	7.386316	1325.320811	
24500.000000	411.337977	910.906502	1322.268843	7.410833	1329.679676	
24600.000000	412.714293	913.893755	1326.632412	7.434815	1334.067227	
24700.000000	414.081814	916.881746	1330.987924	7.458329	1338.446253	
24800.000000	415.442636	919.896510	1335.363511	7.482614	1342.846125	
24900.000000	416.806531	922.900932	1339.731828	7.506531	1347.238358	
25000.000000	418.218101	926.144436	1344.386901	7.531966	1351.918867	
25100.000000	419.635710	929.332551	1348.992625	7.556778	1356.549403	
25200.000000	420.994440	932.327991	1353.346795	7.580683	1360.927478	
25300.000000	422.366676	935.296360	1357.687400	7.604617	1365.292017	
25400.000000	423.718103	938.282122	1362.024590	7.628129	1369.652719	
25500.000000	425.076936	941.278724	1366.380024	7.652080	1374.032104	
25600.000000	426.435941	944.235962	1370.696267	7.675857	1378.372124	
25700.000000	427.791838	947.239328	1375.055530	7.699876	1382.755406	
25800.000000	429.147295	950.225395	1379.397054	7.723541	1387.120595	
25900.000000	430.500799	953.189512	1383.714675	7.746414	1391.461089	
26000.000000	431.836910	956.159964	1388.021238	7.770404	1395.791642	
26100.000000	433.265629	959.234723	1392.524716	7.799492	1400.324209	
26200.000000	434.731714	962.572444	1397.328522	7.826413	1405.154935	
26300.000000	436.083344	965.556158	1401.663866	7.849969	1409.513835	
26400.000000	437.438171	968.546857	1406.009392	7.873857	1413.883249	
26500.000000	438.798463	971.504907	1410.327734	7.897921	1418.225655	
26600.000000	440.188138	974.536252	1414.748755	7.922830	1422.671585	
26700.000000	441.545630	977.499690	1419.069683	7.946687	1427.016370	
26800.000000	443.080716	980.805118	1423.910198	7.972810	1431.883008	
