C Num	Enc Time	Test Time	Dec Time	
11900.000000	151.171004	1569.570923	82.481597	
12000.000000	152.350474	1581.813478	83.123236	
12100.000000	153.617096	1594.967003	83.827031	
12200.000000	154.944279	1608.764925	84.550287	
12300.000000	156.493106	1625.042405	85.410744	
12400.000000	158.092034	1641.657429	86.307156	
12500.000000	159.695184	1658.332696	87.208682	
12600.000000	161.353790	1675.588117	88.113430	
12700.000000	162.914479	1691.761856	88.979948	
12800.000000	164.098940	1704.048648	89.618496	
12900.000000	165.311827	1716.612210	90.273099	
13000.000000	166.671248	1730.755577	91.030622	
13100.000000	167.946114	1744.010549	91.736741	
13200.000000	169.142376	1756.416273	92.389277	
13300.000000	170.366128	1769.117026	93.053441	
13400.000000	171.554731	1781.462336	93.720348	
13500.000000	172.901927	1795.466304	94.480814	
13600.000000	174.198102	1808.939166	95.205592	
13700.000000	175.426992	1821.695237	95.866719	
13800.000000	176.695748	1834.860764	96.548468	
13900.000000	177.987745	1848.276191	97.250659	
14000.000000	179.325873	1862.153668	97.975591	
14100.000000	180.633602	1875.733075	98.703948	
14200.000000	181.837394	1888.216023	99.372676	
14300.000000	183.208988	1902.497592	100.121053	
14400.000000	184.391213	1914.754353	100.760395	
14500.000000	185.693121	1928.243690	101.440913	
14600.000000	187.028307	1942.112422	102.173840	
14700.000000	188.261942	1954.913578	102.831364	
14800.000000	189.519320	1967.954597	103.528679	
14900.000000	190.726929	1980.492520	104.203693	
15000.000000	192.031979	1994.025559	104.891766	
15100.000000	193.416877	2008.409009	105.618756	
15200.000000	194.638957	2021.086731	106.284916	
15300.000000	195.888295	2034.053674	106.979778	
15400.000000	197.100611	2046.603751	107.628001	
15500.000000	198.427574	2060.379848	108.324747	
15600.000000	199.883410	2075.527530	109.120620	
15700.000000	201.102726	2088.174944	109.786967	
15800.000000	202.341157	2101.003618	110.429885	
15900.000000	203.531453	2113.347292	111.068775	
16000.000000	205.003084	2128.709860	111.899223	
16100.000000	206.283995	2142.004237	112.601382	
16200.000000	207.522840	2154.855943	113.288077	
16300.000000	208.749008	2167.569714	113.933117	
16400.000000	209.976482	2180.309420	114.602474	
16500.000000	211.238154	2193.408575	115.286420	
16600.000000	212.631162	2207.863903	116.065361	
16700.000000	213.886899	2220.903273	116.766527	
16800.000000	215.063490	2233.098607	117.408405	
16900.000000	216.222478	2245.162020	118.036853	
17000.000000	217.573681	2259.202003	118.788412	
17100.000000	218.905015	2273.003869	119.515985	
17200.000000	220.100205	2285.413890	120.180159	
17300.000000	221.285625	2297.717443	120.825003	
17400.000000	222.520971	2310.538697	121.507085	
17500.000000	223.713679	2322.921290	122.148640	
17600.000000	225.108741	2337.461104	122.917379	
17700.000000	226.339066	2350.223856	123.585618	
17800.000000	227.544910	2362.722888	124.248526	
17900.000000	228.781032	2375.536475	124.903688	
18000.000000	230.090864	2389.178500	125.641270	
18100.000000	231.433465	2403.099957	126.384286	
18200.000000	232.685034	2416.087761	127.072732	
18300.000000	233.880665	2428.495727	127.742158	
18400.000000	235.086399	2441.004634	128.385880	
18500.000000	236.328063	2453.881850	129.053105	
18600.000000	237.674522	2467.846918	129.774455	
18700.000000	238.854979	2480.097060	130.431339	
18800.000000	240.061369	2492.602868	131.079696	
18900.000000	241.277514	2505.219641	131.744542	
19000.000000	242.496652	2517.868376	132.388127	
19100.000000	243.895692	2532.395468	133.148677	
19200.000000	245.112609	2545.016503	133.825346	
19300.000000	246.292964	2557.275901	134.482830	
19400.000000	247.485319	2569.654908	135.135734	
19500.000000	248.656777	2581.817374	135.769226	
19600.000000	250.078885	2596.641607	136.525326	
19700.000000	251.341408	2609.736910	137.207624	
19800.000000	252.653444	2623.361397	137.924114	
19900.000000	253.877991	2636.084862	138.585213	
20000.000000	255.109611	2648.888755	139.268923	
20100.000000	256.388189	2662.158704	139.973849	
20200.000000	257.713881	2675.926819	140.723878	
20300.000000	258.970847	2688.967652	141.413945	
20400.000000	260.136367	2701.065121	142.037120	
20500.000000	261.343320	2713.557105	142.691955	
20600.000000	262.668755	2727.302179	143.417870	
20700.000000	263.889961	2739.978819	144.085330	
20800.000000	265.069713	2752.219753	144.733203	
20900.000000	266.268420	2764.670157	145.373692	
21000.000000	267.433167	2776.770878	146.021635	
21100.000000	268.816466	2791.131301	146.762658	
21200.000000	270.135437	2804.806542	147.453312	
21300.000000	271.390001	2817.843451	148.144348	
21400.000000	272.574681	2830.124698	148.790394	
21500.000000	273.742367	2842.239475	149.426151	
21600.000000	274.985492	2855.139527	150.099445	
21700.000000	276.264209	2868.417387	150.798147	
21800.000000	277.443509	2880.641437	151.439300	
